"index","job","housing_loan","personal_loan","credit_default","balance"
27398,"admin.","no","yes","no",6157
27399,"entrepreneur","no","no","no",65
27400,"admin.","no","no","no",748
27401,"management","yes","no","yes",0
27402,"management","yes","no","no",137
27403,"technician","yes","no","no",817
27404,"admin.","yes","no","no",105
27405,"management","no","no","no",36
27406,"admin.","no","no","no",118
27407,"management","yes","no","no",86
27408,"management","yes","no","no",418
27409,"blue-collar","yes","no","no",16178
27410,"management","no","yes","no",0
27411,"blue-collar","yes","no","no",3036
27412,"services","yes","yes","no",5129
27413,"technician","no","no","no",1230
27414,"management","yes","no","no",5728
27415,"admin.","yes","yes","no",294
27416,"admin.","yes","no","no",3816
27417,"unemployed","no","no","no",3367
27418,"management","yes","no","no",1584
27419,"management","yes","yes","no",1065
27420,"management","no","no","no",7
27421,"services","yes","yes","no",66
27422,"management","yes","yes","no",72
27423,"blue-collar","no","no","no",618
27424,"unemployed","yes","no","no",6438
27425,"management","yes","no","no",3431
27426,"technician","no","no","no",2403
27427,"admin.","yes","no","no",0
27428,"management","yes","yes","no",102
27429,"unknown","no","no","no",1434
27430,"housemaid","yes","no","no",23663
27431,"technician","yes","no","no",2352
27432,"management","no","no","no",0
27433,"retired","no","no","no",5010
27434,"management","yes","no","no",4025
27435,"management","yes","no","no",7708
27436,"management","no","no","no",22520
27437,"management","yes","no","no",4
27438,"blue-collar","yes","no","no",0
27439,"management","no","no","no",874
27440,"unemployed","no","no","no",3285
27441,"unemployed","no","no","no",7724
27442,"blue-collar","yes","no","no",2120
27443,"unknown","no","no","no",111
27444,"management","yes","no","no",1751
27445,"housemaid","no","no","no",4969
27446,"technician","no","no","no",201
27447,"blue-collar","yes","no","no",1539
27448,"admin.","yes","no","no",144
27449,"blue-collar","no","no","no",10054
27450,"blue-collar","yes","no","no",28
27451,"admin.","no","no","no",3163
27452,"unknown","no","no","no",2731
27453,"technician","yes","no","no",4746
27454,"retired","no","yes","no",1580
27455,"services","yes","no","no",4713
27456,"management","no","yes","no",-692
27457,"unemployed","no","yes","no",74
27458,"services","yes","no","no",0
27459,"management","no","no","no",2951
27460,"management","no","no","no",9634
27461,"management","yes","no","no",13901
27462,"entrepreneur","yes","no","no",73
27463,"self-employed","no","no","no",14522
27464,"blue-collar","no","no","no",3169
27465,"entrepreneur","yes","no","no",29397
27466,"technician","yes","no","no",40
27467,"self-employed","yes","no","no",1006
27468,"management","no","no","no",2693
27469,"self-employed","yes","no","no",17924
27470,"services","no","no","yes",29
27471,"technician","no","no","no",407
27472,"services","yes","yes","no",0
27473,"management","no","no","no",4123
27474,"admin.","no","no","no",-67
27475,"admin.","yes","no","no",540
27476,"admin.","yes","no","no",892
27477,"technician","no","no","no",912
27478,"management","yes","no","no",50
27479,"management","yes","no","no",16236
27480,"management","no","no","no",3283
27481,"management","no","no","no",307
27482,"self-employed","no","no","no",186
27483,"housemaid","no","no","no",492
27484,"services","no","yes","no",105
27485,"services","yes","no","no",490
27486,"entrepreneur","no","no","no",386
27487,"blue-collar","yes","no","no",0
27488,"admin.","yes","no","no",752
27489,"self-employed","yes","no","no",6385
27490,"blue-collar","yes","no","no",1394
27491,"blue-collar","yes","no","no",376
27492,"technician","no","no","no",566
27493,"admin.","yes","no","no",1200
27494,"self-employed","no","no","no",254
27495,"management","no","no","no",2640
27496,"technician","no","yes","no",410
27497,"management","no","no","no",2343
27498,"technician","no","no","no",863
27499,"management","no","no","no",207
27500,"management","no","no","no",5195
27501,"student","yes","no","no",1934
27502,"admin.","no","no","no",1973
27503,"blue-collar","yes","no","no",4793
27504,"blue-collar","yes","yes","no",0
27505,"self-employed","no","no","no",731
27506,"technician","yes","no","no",302
27507,"self-employed","no","no","no",1050
27508,"technician","yes","no","no",2045
27509,"entrepreneur","yes","no","no",318
27510,"entrepreneur","yes","no","no",2856
27511,"technician","yes","yes","no",2125
27512,"technician","no","no","no",2734
27513,"retired","no","no","no",1047
27514,"blue-collar","yes","no","no",3463
27515,"technician","yes","no","no",1167
27516,"entrepreneur","yes","yes","no",7641
27517,"entrepreneur","yes","no","no",0
27518,"management","no","no","no",3436
27519,"unemployed","yes","no","no",8131
27520,"entrepreneur","yes","no","no",714
27521,"blue-collar","no","no","no",5641
27522,"technician","yes","no","no",44
27523,"self-employed","yes","no","no",634
27524,"technician","yes","no","no",392
27525,"blue-collar","yes","no","no",1937
27526,"management","no","no","no",3534
27527,"blue-collar","yes","no","no",0
27528,"management","yes","yes","no",15
27529,"management","yes","no","no",1615
27530,"services","yes","no","no",973
27531,"blue-collar","yes","no","no",9898
27532,"services","yes","no","no",0
27533,"admin.","no","no","no",1320
27534,"self-employed","yes","yes","no",8017
27535,"admin.","no","no","no",4493
27536,"admin.","yes","no","no",738
27537,"blue-collar","yes","no","no",2644
27538,"entrepreneur","no","no","no",763
27539,"blue-collar","yes","no","no",686
27540,"management","yes","no","no",6158
27541,"admin.","no","yes","no",3636
27542,"admin.","no","yes","yes",0
27543,"management","yes","no","no",4847
27544,"management","no","no","no",1928
27545,"management","yes","no","no",477
27546,"services","yes","no","no",1637
27547,"technician","yes","no","no",2466
27548,"management","yes","no","no",5711
27549,"technician","yes","no","no",363
27550,"unemployed","no","no","no",36221
27551,"technician","yes","no","no",3288
27552,"housemaid","no","no","no",1241
27553,"management","no","no","no",1602
27554,"technician","no","no","no",354
27555,"management","yes","no","no",2633
27556,"blue-collar","yes","yes","no",-367
27557,"management","no","no","no",396
27558,"technician","yes","no","no",807
27559,"blue-collar","no","no","no",580
27560,"self-employed","yes","no","no",4418
27561,"technician","yes","no","no",558
27562,"self-employed","yes","no","no",524
27563,"blue-collar","yes","yes","no",477
27564,"management","yes","yes","no",0
27565,"technician","yes","no","no",6673
27566,"blue-collar","no","no","no",2380
27567,"management","no","no","no",149
27568,"management","yes","no","no",2085
27569,"blue-collar","yes","no","no",5423
27570,"management","no","no","no",2147
27571,"technician","yes","no","no",2767
27572,"blue-collar","yes","no","no",119
27573,"management","no","no","no",6503
27574,"services","no","no","no",4329
27575,"blue-collar","yes","no","no",2929
27576,"technician","no","no","no",1000
27577,"management","yes","no","no",1114
27578,"technician","no","yes","no",1738
27579,"self-employed","no","no","no",3072
27580,"management","no","yes","no",764
27581,"blue-collar","yes","no","no",744
27582,"management","no","yes","no",934
27583,"admin.","yes","no","no",12704
27584,"entrepreneur","yes","no","no",83
27585,"management","yes","no","no",731
27586,"technician","yes","yes","no",44
27587,"entrepreneur","no","no","no",5
27588,"technician","no","no","no",967
27589,"admin.","yes","no","no",1834
27590,"services","yes","no","yes",-158
27591,"technician","yes","no","no",817
27592,"admin.","yes","no","no",877
27593,"services","no","no","no",133
27594,"housemaid","no","no","no",4312
27595,"retired","no","no","yes",86
27596,"blue-collar","yes","yes","no",2246
27597,"services","no","no","no",7482
27598,"management","yes","no","no",538
27599,"entrepreneur","no","yes","no",1171
27600,"housemaid","no","no","no",2388
27601,"blue-collar","yes","no","no",473
27602,"management","no","yes","no",22125
27603,"technician","no","no","no",761
27604,"blue-collar","yes","no","no",1407
27605,"management","yes","no","no",4374
27606,"technician","no","no","no",15120
27607,"entrepreneur","no","yes","no",2309
27608,"management","no","no","no",1257
27609,"blue-collar","yes","yes","no",-571
27610,"management","yes","yes","no",15423
27611,"management","no","no","no",1546
27612,"management","no","no","no",1785
27613,"blue-collar","yes","no","no",1820
27614,"blue-collar","yes","no","no",1903
27615,"management","yes","no","no",22569
27616,"housemaid","yes","yes","no",0
27617,"admin.","yes","no","no",0
27618,"self-employed","yes","yes","no",1036
27619,"management","no","no","no",3821
27620,"entrepreneur","yes","yes","no",3140
27621,"technician","yes","no","no",362
27622,"blue-collar","yes","no","no",1322
27623,"blue-collar","yes","no","no",392
27624,"services","no","yes","no",344
27625,"admin.","no","no","no",6695
27626,"services","yes","no","no",3181
27627,"self-employed","no","no","no",368
27628,"technician","yes","no","no",1183
27629,"unemployed","yes","no","no",4809
27630,"technician","no","no","no",5996
27631,"management","yes","yes","no",0
27632,"services","yes","no","no",5907
27633,"services","yes","no","no",2618
27634,"self-employed","yes","no","no",484
27635,"management","yes","no","no",4063
27636,"technician","yes","no","no",2283
27637,"entrepreneur","no","yes","no",0
27638,"blue-collar","no","no","no",0
27639,"management","yes","no","no",714
27640,"blue-collar","no","yes","no",3451
27641,"technician","no","yes","no",282
27642,"management","no","no","no",339
27643,"self-employed","no","no","no",1732
27644,"management","no","no","no",7825
27645,"admin.","yes","no","no",1097
27646,"self-employed","yes","no","no",6056
27647,"management","no","no","no",6742
27648,"technician","yes","no","no",1971
27649,"entrepreneur","yes","yes","no",0
27650,"housemaid","no","no","no",333
27651,"management","no","no","no",2173
27652,"self-employed","no","no","no",2235
27653,"entrepreneur","yes","no","no",346
27654,"management","yes","no","no",20798
27655,"technician","yes","no","no",665
27656,"entrepreneur","no","no","no",6825
27657,"admin.","yes","no","no",3098
27658,"management","yes","yes","no",1275
27659,"unemployed","no","no","no",0
27660,"blue-collar","yes","no","no",3111
27661,"admin.","no","no","no",4764
27662,"admin.","yes","no","no",79
27663,"management","no","no","no",5787
27664,"technician","no","yes","no",587
27665,"management","yes","yes","no",3495
27666,"services","no","yes","no",537
27667,"services","yes","no","no",0
27668,"technician","no","yes","no",173
27669,"management","no","no","no",1402
27670,"services","no","no","no",4664
27671,"technician","yes","no","no",0
27672,"admin.","yes","no","no",9319
27673,"technician","no","no","no",2937
27674,"management","yes","no","no",6808
27675,"services","no","no","no",9531
27676,"entrepreneur","no","no","no",-264
27677,"blue-collar","yes","no","yes",-530
27678,"services","yes","no","no",0
27679,"management","yes","no","no",515
27680,"blue-collar","yes","yes","no",1521
27681,"blue-collar","no","no","no",1601
27682,"technician","yes","yes","no",180
27683,"self-employed","no","no","no",0
27684,"services","yes","no","no",8554
27685,"unemployed","yes","no","no",2347
27686,"management","no","no","no",0
27687,"self-employed","yes","no","no",4693
27688,"technician","yes","no","no",1063
27689,"management","yes","no","no",8265
27690,"services","yes","no","no",875
27691,"management","yes","no","no",-94
27692,"blue-collar","no","no","no",2121
27693,"blue-collar","yes","no","no",2720
27694,"self-employed","no","no","no",8883
27695,"management","yes","no","no",0
27696,"technician","yes","no","no",785
27697,"technician","yes","no","no",1077
27698,"management","no","no","no",5
27699,"entrepreneur","no","no","no",442
27700,"management","no","no","no",736
27701,"technician","yes","no","no",4932
27702,"management","no","no","no",-17
27703,"technician","yes","no","no",1308
27704,"technician","no","yes","no",-315
27705,"admin.","yes","no","no",981
27706,"blue-collar","yes","no","no",4127
27707,"blue-collar","yes","no","no",-648
27708,"services","no","no","no",410
27709,"blue-collar","yes","no","yes",0
27710,"blue-collar","yes","no","no",156
27711,"admin.","yes","no","no",797
27712,"self-employed","yes","no","no",1016
27713,"management","no","no","no",1899
27714,"student","yes","no","no",290
27715,"unemployed","no","no","no",1003
27716,"technician","yes","no","no",0
27717,"management","yes","yes","no",0
27718,"technician","no","no","no",72
27719,"blue-collar","no","no","no",130
27720,"management","no","no","no",760
27721,"technician","no","no","no",616
27722,"management","no","no","no",2223
27723,"services","no","no","no",1442
27724,"retired","no","no","no",366
27725,"management","yes","no","no",0
27726,"blue-collar","no","no","no",232
27727,"management","no","yes","no",1004
27728,"admin.","no","no","no",6100
27729,"management","yes","no","no",2143
27730,"management","yes","yes","no",378
27731,"admin.","no","no","no",654
27732,"technician","yes","no","no",0
27733,"technician","no","no","no",1076
27734,"unknown","no","no","no",13
27735,"management","no","no","no",805
27736,"admin.","no","no","no",609
27737,"unemployed","no","no","no",641
27738,"management","yes","no","no",574
27739,"unemployed","no","no","no",759
27740,"technician","yes","no","no",87
27741,"management","no","yes","no",266
27742,"services","yes","no","no",1
27743,"services","no","no","no",-232
27744,"housemaid","no","no","no",1358
27745,"technician","yes","no","no",167
27746,"retired","no","yes","no",-607
27747,"housemaid","no","no","no",5
27748,"technician","no","no","no",-593
27749,"management","no","no","no",2725
27750,"blue-collar","yes","no","no",70
27751,"services","no","no","no",774
27752,"blue-collar","yes","no","no",316
27753,"entrepreneur","no","no","no",323
27754,"retired","no","yes","no",1431
27755,"entrepreneur","yes","no","no",626
27756,"management","yes","no","no",13
27757,"technician","yes","no","no",2017
27758,"blue-collar","no","no","no",67
27759,"technician","yes","no","no",589
27760,"retired","no","no","no",8025
27761,"student","no","no","no",0
27762,"technician","no","no","no",459
27763,"technician","no","no","yes",4
27764,"technician","no","yes","no",3064
27765,"unemployed","no","no","no",814
27766,"management","no","no","no",188
27767,"admin.","no","no","no",260
27768,"student","no","no","no",699
27769,"blue-collar","no","no","no",8
27770,"blue-collar","yes","no","no",127
27771,"admin.","no","no","no",511
27772,"retired","yes","no","no",965
27773,"services","no","yes","no",651
27774,"management","no","no","no",464
27775,"management","no","no","no",451
27776,"unemployed","no","no","no",6248
27777,"technician","yes","no","no",808
27778,"technician","yes","no","no",392
27779,"retired","no","no","no",1068
27780,"blue-collar","yes","yes","yes",-354
27781,"admin.","no","no","no",8
27782,"unemployed","yes","no","no",57
27783,"services","no","no","no",285
27784,"management","no","no","no",865
27785,"services","no","no","no",356
27786,"management","yes","no","no",-76
27787,"blue-collar","no","no","no",1678
27788,"self-employed","no","no","no",25
27789,"technician","yes","no","no",557
27790,"blue-collar","no","no","no",3662
27791,"services","no","no","no",362
27792,"services","yes","yes","no",393
27793,"management","no","no","no",1572
27794,"management","yes","yes","no",344
27795,"technician","no","no","no",3049
27796,"technician","yes","no","no",741
27797,"management","no","no","no",226
27798,"student","no","no","no",1096
27799,"management","no","no","no",589
27800,"admin.","yes","no","no",254
27801,"technician","yes","no","no",0
27802,"management","no","no","no",460
27803,"admin.","no","no","no",1309
27804,"technician","yes","no","no",823
27805,"technician","no","no","no",28
27806,"technician","no","no","no",-57
27807,"admin.","no","no","no",187
27808,"student","no","no","no",101
27809,"unemployed","no","no","no",461
27810,"blue-collar","no","yes","no",415
27811,"services","no","no","no",983
27812,"unemployed","no","no","no",23
27813,"services","yes","no","no",2478
27814,"technician","yes","no","no",425
27815,"blue-collar","no","no","no",584
27816,"technician","no","yes","no",-35
27817,"management","no","no","no",373
27818,"admin.","no","yes","no",4012
27819,"unemployed","no","no","no",71
27820,"management","yes","yes","no",332
27821,"management","yes","yes","no",581
27822,"technician","no","no","no",178
27823,"unknown","no","no","no",859
27824,"blue-collar","yes","yes","no",1452
27825,"management","no","no","no",105
27826,"blue-collar","no","no","no",78
27827,"blue-collar","yes","no","no",378
27828,"services","yes","no","no",322
27829,"management","no","no","no",119
27830,"self-employed","no","no","no",1672
27831,"unemployed","yes","no","no",20
27832,"management","no","no","no",102
27833,"unemployed","no","no","no",446
27834,"management","no","yes","no",613
27835,"admin.","no","no","no",903
27836,"management","no","no","no",804
27837,"technician","yes","no","no",98
27838,"technician","no","no","no",1686
27839,"retired","yes","yes","no",374
27840,"management","yes","no","no",409
27841,"technician","no","no","no",1938
27842,"blue-collar","no","yes","no",93
27843,"retired","no","yes","no",34
27844,"unknown","no","no","no",0
27845,"admin.","yes","no","no",1088
27846,"technician","yes","no","no",3720
27847,"management","yes","no","no",638
27848,"unemployed","no","no","no",550
27849,"technician","no","no","no",3244
27850,"technician","no","no","no",53
27851,"unemployed","no","no","no",309
27852,"technician","no","no","no",0
27853,"blue-collar","no","no","no",8
27854,"technician","yes","no","no",529
27855,"entrepreneur","no","yes","no",1129
27856,"management","no","no","no",0
27857,"unemployed","no","no","no",3945
27858,"retired","no","no","no",1216
27859,"housemaid","yes","no","no",1526
27860,"blue-collar","no","no","no",620
27861,"services","no","no","no",1400
27862,"admin.","no","no","no",19
27863,"retired","no","no","no",726
27864,"unemployed","no","yes","no",-246
27865,"unemployed","no","no","no",20
27866,"self-employed","no","no","no",284
27867,"services","no","no","no",951
27868,"unemployed","no","no","no",-17
27869,"technician","yes","no","no",306
27870,"technician","yes","yes","no",0
27871,"technician","yes","no","no",275
27872,"housemaid","no","no","no",596
27873,"blue-collar","no","no","no",2317
27874,"blue-collar","yes","no","no",105
27875,"management","no","no","no",194
27876,"blue-collar","no","no","no",218
27877,"management","yes","yes","no",0
27878,"blue-collar","no","no","no",21
27879,"admin.","yes","no","no",127
27880,"unemployed","no","no","no",512
27881,"services","no","no","no",301
27882,"housemaid","no","no","no",723
27883,"admin.","no","no","no",52
27884,"unemployed","no","no","no",213
27885,"self-employed","yes","yes","no",1657
27886,"management","yes","no","no",1066
27887,"admin.","no","no","no",176
27888,"admin.","yes","no","no",429
27889,"housemaid","no","no","no",578
27890,"unemployed","yes","no","no",149
27891,"housemaid","no","no","no",554
27892,"management","no","no","no",5978
27893,"management","no","yes","no",347
27894,"self-employed","no","yes","no",362
27895,"retired","no","no","no",372
27896,"technician","yes","no","no",340
27897,"management","no","yes","no",436
27898,"housemaid","no","no","no",2429
27899,"admin.","no","no","no",3869
27900,"retired","no","no","no",914
27901,"admin.","no","no","no",495
27902,"technician","yes","no","no",370
27903,"management","no","yes","no",-295
27904,"blue-collar","no","no","no",1316
27905,"admin.","yes","no","no",586
27906,"housemaid","no","no","no",337
27907,"retired","no","no","no",13
27908,"blue-collar","no","yes","no",297
27909,"services","yes","no","no",62
27910,"housemaid","no","no","no",799
27911,"technician","no","no","no",220
27912,"services","no","no","no",0
27913,"technician","yes","no","no",299
27914,"retired","yes","no","no",1066
27915,"management","yes","no","no",876
27916,"unemployed","no","no","no",4274
27917,"management","no","no","no",264
27918,"admin.","no","yes","no",98
27919,"retired","no","no","no",524
27920,"management","no","no","no",1874
27921,"admin.","no","no","no",536
27922,"housemaid","yes","no","no",31
27923,"management","yes","no","no",1271
27924,"student","no","no","no",3
27925,"technician","no","no","no",4557
27926,"management","yes","yes","no",1349
27927,"unknown","no","no","no",181
27928,"management","no","no","no",625
27929,"blue-collar","no","no","no",253
27930,"unemployed","no","no","no",340
27931,"technician","no","yes","no",529
27932,"services","no","no","no",-32
27933,"unknown","no","no","no",1502
27934,"housemaid","no","no","no",0
27935,"admin.","yes","no","no",1455
27936,"management","yes","no","no",215
27937,"admin.","no","no","no",201
27938,"admin.","no","yes","yes",-1089
27939,"technician","no","no","no",1187
27940,"technician","yes","no","no",480
27941,"management","yes","no","no",857
27942,"admin.","no","no","no",199
27943,"technician","yes","no","no",476
27944,"retired","no","no","no",316
27945,"technician","yes","yes","no",1449
27946,"self-employed","no","no","no",4213
27947,"blue-collar","no","no","no",2746
27948,"unemployed","no","no","no",371
27949,"unknown","no","no","no",4465
27950,"unemployed","no","no","no",1055
27951,"self-employed","no","no","no",36
27952,"admin.","no","no","no",0
27953,"technician","yes","no","no",387
27954,"blue-collar","no","no","no",5901
27955,"admin.","yes","yes","no",1279
27956,"services","yes","no","no",338
27957,"management","no","no","no",223
27958,"entrepreneur","yes","yes","no",3463
27959,"technician","no","no","no",42
27960,"admin.","yes","no","no",732
27961,"blue-collar","yes","yes","no",264
27962,"services","no","no","no",0
27963,"admin.","no","no","no",89
27964,"management","no","no","no",288
27965,"unemployed","no","no","no",744
27966,"retired","no","yes","no",1369
27967,"blue-collar","no","no","no",417
27968,"student","yes","no","no",1694
27969,"management","yes","no","no",379
27970,"technician","no","no","no",547
27971,"management","no","no","no",726
27972,"technician","yes","no","no",434
27973,"technician","yes","no","no",0
27974,"self-employed","no","no","no",1616
27975,"blue-collar","yes","no","no",47
27976,"management","yes","no","no",0
27977,"technician","no","no","no",487
27978,"technician","no","no","no",0
27979,"management","no","no","no",393
27980,"services","no","no","no",0
27981,"technician","no","no","no",1357
27982,"blue-collar","no","no","no",699
27983,"blue-collar","yes","yes","no",0
27984,"blue-collar","yes","no","no",0
27985,"technician","no","no","no",3207
27986,"technician","no","no","no",100
27987,"management","no","no","no",130
27988,"management","no","no","no",787
27989,"management","no","no","no",37
27990,"technician","yes","no","no",0
27991,"self-employed","no","no","no",0
27992,"technician","no","yes","no",1508
27993,"admin.","no","no","no",3473
27994,"technician","yes","no","no",3222
27995,"blue-collar","no","no","no",1035
27996,"technician","no","no","no",1
27997,"management","no","no","no",0
27998,"technician","no","no","no",0
27999,"unemployed","no","no","no",527
28000,"management","no","no","no",140
28001,"technician","no","no","no",0
28002,"blue-collar","yes","no","no",117
28003,"technician","no","no","no",-321
28004,"services","no","no","no",755
28005,"technician","no","no","no",1033
28006,"blue-collar","no","no","no",1236
28007,"technician","yes","yes","no",177
28008,"unemployed","no","no","no",840
28009,"admin.","yes","no","no",219
28010,"management","yes","yes","no",157
28011,"management","no","no","no",1458
28012,"blue-collar","no","no","no",5715
28013,"housemaid","no","no","no",122
28014,"services","no","no","no",818
28015,"technician","no","no","no",799
28016,"services","no","no","no",117
28017,"services","no","no","no",466
28018,"blue-collar","no","yes","no",962
28019,"services","no","no","no",1095
28020,"technician","no","no","no",297
28021,"retired","no","no","no",414
28022,"management","yes","no","no",6
28023,"services","yes","no","no",237
28024,"technician","no","no","no",-528
28025,"self-employed","no","no","no",399
28026,"blue-collar","yes","no","no",0
28027,"technician","no","no","no",102
28028,"blue-collar","yes","no","no",6
28029,"management","no","yes","no",769
28030,"unemployed","no","no","no",8585
28031,"technician","no","no","no",0
28032,"management","no","no","no",559
28033,"self-employed","no","no","no",429
28034,"management","no","no","no",1392
28035,"blue-collar","no","no","no",103
28036,"technician","no","no","no",802
28037,"technician","no","no","no",0
28038,"management","no","no","no",54
28039,"blue-collar","no","no","no",140
28040,"technician","no","no","no",1796
28041,"management","yes","no","no",672
28042,"student","no","no","no",1013
28043,"student","no","no","no",760
28044,"technician","no","no","no",-199
28045,"self-employed","no","no","no",1918
28046,"student","no","no","no",2020
28047,"services","no","no","no",-507
28048,"technician","yes","yes","no",-70
28049,"management","no","no","no",1288
28050,"services","no","no","no",-33
28051,"student","no","no","no",78
28052,"blue-collar","no","no","no",1227
28053,"unemployed","no","no","no",2244
28054,"retired","no","yes","no",208
28055,"technician","no","no","no",0
28056,"admin.","no","no","no",664
28057,"management","no","no","no",0
28058,"admin.","no","no","no",358
28059,"management","no","no","no",811
28060,"services","no","no","no",239
28061,"blue-collar","no","no","no",583
28062,"blue-collar","yes","yes","no",366
28063,"technician","no","no","no",644
28064,"technician","no","yes","no",51
28065,"blue-collar","no","no","no",1470
28066,"unemployed","no","no","no",622
28067,"student","no","no","no",585
28068,"housemaid","no","no","no",922
28069,"retired","no","no","no",4457
28070,"management","no","no","no",37
28071,"management","no","no","no",1128
28072,"management","yes","yes","no",308
28073,"management","no","no","no",0
28074,"management","yes","no","no",1218
28075,"unknown","no","no","no",549
28076,"technician","yes","no","no",24
28077,"housemaid","no","no","no",637
28078,"technician","no","no","no",14
28079,"admin.","no","no","no",1
28080,"technician","no","no","no",350
28081,"management","no","no","no",95
28082,"technician","no","no","no",311
28083,"admin.","no","no","no",1803
28084,"management","no","no","no",1235
28085,"admin.","no","no","no",1264
28086,"admin.","no","no","no",-24
28087,"blue-collar","yes","no","no",310
28088,"services","no","no","no",317
28089,"admin.","no","no","no",2662
28090,"management","no","no","no",20
28091,"management","no","no","no",78
28092,"management","no","no","no",375
28093,"technician","no","no","no",4130
28094,"technician","no","no","no",2
28095,"services","no","yes","no",1709
28096,"admin.","no","no","no",197
28097,"services","no","no","yes",-10
28098,"admin.","no","no","no",394
28099,"services","no","yes","no",376
28100,"self-employed","no","no","no",8
28101,"admin.","no","no","no",-257
28102,"technician","no","no","no",578
28103,"technician","no","no","no",800
28104,"admin.","no","no","no",399
28105,"blue-collar","no","no","no",-96
28106,"technician","yes","no","no",413
28107,"unemployed","yes","no","no",1161
28108,"management","no","no","no",3770
28109,"admin.","yes","yes","no",95
28110,"unemployed","no","no","no",67
28111,"management","no","no","no",4721
28112,"technician","no","no","no",0
28113,"unemployed","no","no","no",1027
28114,"services","no","no","no",177
28115,"services","no","no","no",374
28116,"management","no","no","no",695
28117,"unknown","no","no","no",438
28118,"student","no","no","no",0
28119,"management","no","no","no",182
28120,"technician","no","no","no",486
28121,"management","yes","no","no",2346
28122,"management","no","no","no",595
28123,"student","no","yes","no",0
28124,"management","yes","no","no",557
28125,"management","no","no","no",86
28126,"management","no","no","no",4638
28127,"management","no","no","no",370
28128,"student","no","no","no",289
28129,"student","no","no","no",782
28130,"blue-collar","yes","no","no",1988
28131,"technician","no","no","no",206
28132,"admin.","yes","no","no",1504
28133,"technician","no","no","no",232
28134,"housemaid","no","no","no",118
28135,"services","no","no","no",0
28136,"services","yes","no","no",360
28137,"services","yes","no","no",459
28138,"admin.","no","no","no",407
28139,"technician","yes","no","no",-259
28140,"technician","no","no","no",2041
28141,"blue-collar","yes","yes","no",1296
28142,"blue-collar","yes","yes","no",257
28143,"technician","no","no","no",373
28144,"technician","yes","no","no",955
28145,"admin.","yes","no","no",13
28146,"retired","no","no","no",-411
28147,"blue-collar","yes","no","no",92
28148,"services","no","no","no",164
28149,"technician","yes","yes","no",0
28150,"blue-collar","yes","yes","no",120
28151,"admin.","no","yes","no",2
28152,"services","yes","no","no",532
28153,"technician","yes","yes","no",-290
28154,"technician","no","yes","no",152
28155,"unemployed","no","no","no",1638
28156,"housemaid","no","no","no",2880
28157,"unemployed","no","no","no",4769
28158,"admin.","yes","no","no",673
28159,"unemployed","no","no","no",86
28160,"admin.","yes","yes","no",272
28161,"unemployed","no","no","no",221
28162,"services","yes","yes","no",133
28163,"admin.","no","no","no",50
28164,"student","no","no","no",336
28165,"management","yes","no","no",557
28166,"management","yes","no","no",36
28167,"entrepreneur","yes","no","no",313
28168,"management","no","no","no",1425
28169,"retired","yes","yes","no",-79
28170,"admin.","yes","no","no",498
28171,"self-employed","no","no","no",50
28172,"technician","yes","no","no",319
28173,"blue-collar","yes","no","no",521
28174,"retired","no","no","no",427
28175,"management","no","no","no",223
28176,"management","no","yes","no",-259
28177,"management","yes","no","no",-90
28178,"blue-collar","yes","no","no",676
28179,"technician","yes","no","no",149
28180,"self-employed","yes","yes","no",-199
28181,"services","no","no","no",268
28182,"technician","no","no","no",478
28183,"blue-collar","yes","no","no",345
28184,"technician","no","no","no",455
28185,"management","yes","no","no",893
28186,"management","yes","no","no",567
28187,"entrepreneur","yes","no","no",294
28188,"management","no","no","no",1857
28189,"student","no","no","no",980
28190,"services","no","no","no",486
28191,"management","yes","yes","no",1422
28192,"management","no","no","no",343
28193,"self-employed","yes","yes","yes",254
28194,"retired","no","no","no",47
28195,"management","yes","no","no",547
28196,"management","yes","no","no",-412
28197,"blue-collar","yes","no","no",1125
28198,"blue-collar","no","no","no",-76
28199,"unemployed","no","no","no",323
28200,"technician","no","yes","no",-296
28201,"technician","yes","no","no",252
28202,"services","yes","no","no",594
28203,"unemployed","no","no","no",262
28204,"admin.","yes","no","no",0
28205,"management","yes","no","no",0
28206,"self-employed","no","no","no",415
28207,"admin.","yes","no","no",629
28208,"blue-collar","no","no","no",176
28209,"entrepreneur","yes","no","no",97
28210,"admin.","yes","no","no",350
28211,"retired","no","no","no",1770
28212,"blue-collar","no","no","no",399
28213,"management","no","no","no",1245
28214,"management","yes","no","no",1120
28215,"technician","no","no","no",22
28216,"services","no","no","no",717
28217,"admin.","yes","no","no",1322
28218,"admin.","no","no","no",73
28219,"admin.","yes","no","no",111
28220,"blue-collar","no","no","yes",-462
28221,"technician","yes","yes","no",388
28222,"management","yes","no","no",498
28223,"technician","yes","no","no",273
28224,"management","yes","no","no",1330
28225,"admin.","yes","no","no",956
28226,"admin.","yes","no","no",-97
28227,"admin.","yes","no","no",547
28228,"blue-collar","yes","no","no",299
28229,"management","yes","no","no",1073
28230,"technician","yes","no","no",283
28231,"management","yes","no","no",2665
28232,"technician","no","no","no",424
28233,"retired","yes","no","no",294
28234,"management","yes","no","no",707
28235,"management","no","no","no",791
28236,"management","yes","no","no",732
28237,"unemployed","no","no","no",550
28238,"entrepreneur","yes","yes","no",-274
28239,"technician","no","yes","no",540
28240,"services","yes","no","no",1496
28241,"retired","no","no","no",0
